"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft)"|"Map"|"BGN Date"|"Entry Date"|
"Julian Abele Park"|"2741669"|"Park"|"Philadelphia"|"PA"|"395627N"|"0751046W"|"39"|"Philadelphia"|""|"12-OCT-2012"
"Juniata Park"|"1178199"|"Park"|"Philadelphia"|"PA"|"400052N"|"0750614W"|"62"|"Frankford"|""|"02-AUG-1979"
"Junod Playground"|"2741670"|"Park"|"Philadelphia"|"PA"|"400612N"|"0745810W"|"108"|"Beverly"|""|"12-OCT-2012"
"Kay Park"|"2741671"|"Park"|"Philadelphia"|"PA"|"400120N"|"0751000W"|"217"|"Germantown"|""|"12-OCT-2012"
"Kemble Park"|"1178347"|"Park"|"Philadelphia"|"PA"|"400223N"|"0750857W"|"184"|"Germantown"|""|"02-AUG-1979"
"Kendrick Playground"|"2349189"|"Park"|"Philadelphia"|"PA"|"400143N"|"0751245W"|"259"|"Germantown"|""|"23-AUG-2007"
"Kensington Rambler Park"|"2741827"|"Park"|"Philadelphia"|"PA"|"400006N"|"0750645W"|"79"|"Frankford"|""|"17-OCT-2012"
"Kingsessing Park"|"1178504"|"Park"|"Philadelphia"|"PA"|"395633N"|"0751303W"|"75"|"Philadelphia"|""|"02-AUG-1979"
"Kingsessing Playground"|"2349224"|"Park"|"Philadelphia"|"PA"|"395604N"|"0751345W"|"79"|"Philadelphia"|""|"23-AUG-2007"
"Konrad Square"|"2741673"|"Park"|"Philadelphia"|"PA"|"395846N"|"0750741W"|"23"|"Philadelphia"|""|"12-OCT-2012"
"Kopernicus Triangle"|"2741674"|"Park"|"Philadelphia"|"PA"|"395724N"|"0751006W"|"33"|"Philadelphia"|""|"12-OCT-2012"
"Korean War Veterans Memorial"|"2741675"|"Park"|"Philadelphia"|"PA"|"395642N"|"0750836W"|"10"|"Philadelphia"|""|"12-OCT-2012"
"La Noce Park"|"2741676"|"Park"|"Philadelphia"|"PA"|"400104N"|"0751239W"|"118"|"Germantown"|""|"12-OCT-2012"
"Lackman Playground"|"2741677"|"Park"|"Philadelphia"|"PA"|"400601N"|"0750159W"|"161"|"Frankford"|""|"12-OCT-2012"
"Lanier Park"|"1178872"|"Park"|"Philadelphia"|"PA"|"395558N"|"0751139W"|"33"|"Philadelphia"|""|"02-AUG-1979"
"Lanza Park"|"2741679"|"Park"|"Philadelphia"|"PA"|"395615N"|"0750850W"|"26"|"Philadelphia"|""|"12-OCT-2012"
"Lardner Point"|"2741680"|"Park"|"Philadelphia"|"PA"|"400056N"|"0750246W"|"10"|"Frankford"|""|"12-OCT-2012"
"Lawncrest Playground"|"2349283"|"Park"|"Philadelphia"|"PA"|"400247N"|"0750607W"|"151"|"Frankford"|""|"23-AUG-2007"
"Levy Park"|"2741681"|"Park"|"Philadelphia"|"PA"|"395719N"|"0751001W"|"30"|"Philadelphia"|""|"12-OCT-2012"
